CRATER_ID,CRATER_NAME,LATITUDE_CIRCLE_IMAGE,LONGITUDE_CIRCLE_IMAGE,DIAM_CIRCLE_IMAGE,DEPTH_RIMFLOOR_TOPOG,MORPHOLOGY_EJECTA_1,MORPHOLOGY_EJECTA_2,MORPHOLOGY_EJECTA_3,NUMBER_LAYERS
01-000001,Korolev,72.76,164.464,82.02,1.97,Rd/MLERS,HuBL, ,3
01-000204,Lonar,72.992,38.304,10.89,1.1,Rd/MLEPC/MLERS/MLERS/MLERS,HuSL/HuBL/HuBL/HuSp, ,4
02-000155,Steinheim,54.574,-169.348,11.17,0.79,MLERC/MLERS/MLERS,HuSL/HuBL/HuBL, ,3
03-000108,Charlieu,38.154,-83.967,18.63,0.84,Rd/DLERS,HuBL, ,2
03-000156,Kisambo,34.08,-88.926,15.22,0.87,Rd/DLEPS,HuBL, ,2
03-000182,Cangwu,41.843,-89.571,13.64,0.96,Rd/DLERC/DLERS,HuBL, ,2
03-000294,Maricourt,53.334,-71.151,9.17,0.91,DLEPS/DLERS,HuSL/HuBL, ,2
04-000023,Bamberg,39.692,-3.048,55.7,1.75,Rd/DLERS,HuBL, ,2
04-000051,Bonestell,42.004,-30.376,40.67,1.75,Rd/MLERS,HuBL, ,3
04-000087,Gamboa,40.768,-44.348,30.82,1.59,Rd/MLERS,HuBL, ,3
04-000141,Dein,38.209,-2.518,25.52,1.06,DLERS,HuBL,Inner is Small-Crown,2
04-000151,Arandas,42.412,-14.998,24.76,1.81,Rd/MLEPS,HuBL, ,3
04-000213,Lagarto,49.863,-8.267,19.3,1.37,MLERS,HuBL, ,3
04-000243,Mohawk,42.891,-5.332,17.49,1.05,MLEPS,HuBL, ,4
04-000297,Yakima,43.023,-3.12,15.03,0.43,DLEPS,HuBL, ,2
04-000312,Lota,46.32,-11.788,14.44,0.66,DLEPC/DLERS,HuSL, ,2
04-000339,Elath,45.874,-13.586,12.98,0.85,Rd/MLEPS,HuSL, ,3
04-000345,Freedom,43.356,-8.954,12.74,0.61,Rd/DLEPC/DLEPS,Hu/HuBL, ,2
04-000355,Eagle,43.81,-8.14,12.5,0.49,DLEPS,HuBL, ,2
04-000476,Gol,47.159,-10.634,9.45,0.66,DLEPC/DLERS,HuSL/HuBL, ,2
04-000530,Can,48.208,-14.57,8.44,0.78,DLERS,HuSL, ,2
04-000637,Hope,44.837,-10.268,7.12,1.02,MLEPC/MLERS/MLEPS,HuSL/HuBL/HuBL, ,3
04-000644,Cray,44.1,-16.101,7.06,0.38,Rd/DLERS/DLEPS,HuBL, ,2
04-000688,Vils,39.041,-11.666,6.68,0.44,DLERC/DLEPS,HuSL/SmAm,Inner is Pin-Cushion,2
04-000787,Tem',41.91,-9.424,5.88,0.35,DLEPS,HuSL/HuBL, ,2
04-000883,Faith,42.927,-11.804,5.3,0.13,DLERC/DLEPS,SmSL/HuSL, ,2
04-000884,Land,48.26,-8.706,5.3,0.07,DLEPS,HuSL, ,2
04-001381,Esk,45.211,-6.998,3.7,0.18,DLERC/DLEPS,SmSL/SmSp,Outer is Splash,2
04-001635,Wer,45.676,-6.166,3.25,0.06,DLERC/DLEPS,HuSL/HuBL, ,2
05-000055,Davies,45.958,0.144,49.37,1.49,Rd/DLERS,HuSL, ,2
06-000016,Nier,42.788,106.109,46.3,2.04,Rd/DLERS,HuBL, ,2
06-000057,Vivero,48.97,118.854,27.12,1.58,DLEPC/Rd/DLERS,SmSL/HuBL, ,2
06-000079,Bacolor,32.992,118.593,22.63,1.49,Rd/DLERS,HuSL, ,2
07-000008,Stokes,55.621,171.287,62.49,1.84,Rd/DLERS,HuBL, ,2
07-000108,Bulhar,50.355,134.536,18.08,1.03,Rd/MLERS,HuSL, ,3
07-000119,Umatac,42.519,137.264,17.16,0.52,Rd/DLEPC,HuSL, ,2
07-000196,Kumara,43.029,128.567,11.87,0.11,Rd/MLEPC/MLEPC/MLEPS,HuSL, ,3
07-000260,Orinda,45.375,126.987,9.11,0.21,MLEPC/MLERC/MLEPS,HuSL, ,3
07-000272,Mendota,35.827,138.329,8.86,0.36,Rd/DLEPS,HuSL, ,2
07-000281,Rynok,44.126,121.769,8.71,0.02,DLEPC/DLERS,Hu/HuBL, ,2
07-000352,Rimac,44.968,136.065,7.38,0.06,Rd/DLEPC/DLEPS,HuSL/HuBL, ,2
07-000363,Ocampo,32.665,138.304,7.16,0.92,DLEPS,HuSL/HuAm,Inner is Pin-Cushion,2
07-000382,Nain,41.468,126.856,6.89,0.29,DLEPS,HuBL/HuSL, ,2
07-000418,Krasnoye,35.856,143.844,6.55,0.55,DLEPS,HuBL, ,2
07-000423,Irharen,34.489,140.822,6.48,0.76,DLEPC/DLEPS,HuSL,Inner is Pin-Cushion,2
07-000526,Achar,45.437,123.168,5.48,0.04,DLEPC,SmSL, ,2
08-000060,Tooting,23.203,-152.22,27.86,1.63,MLERS,HuBL, ,4
09-000000,Poynting,8.419,-112.738,69.7,1.76,MLERS,HuBL,Inner is Small-Crown,3
09-000001,Paros,21.985,-98.11,34.61,1.39,MLERS,HuBL, ,4
09-000004,Rahe,25.055,-97.473,26.79,0.95,DLERS, , ,2
10-000033,Ottumwa,24.592,-55.775,49.21,2.1,Rd/MLERS,HuBL, ,3
10-000074,Herculaneum,19.305,-58.642,34.71,1.51,MLERS,HuBL, ,3
10-000088,Pompeii,18.972,-59.08,31.13,1.47,Rd/DLERS,HuBL, ,3
10-000106,S,21.43,-55.151,28.45,1.52,MLERS,HuBL, ,3
10-000150,Darvel,17.784,-51.004,22.36,0.94,Rd/SLEPS,HuBL, ,2
10-000174,Santa Fe,19.275,-47.938,20.3,0.97,Rd/MLERS,HuSL, ,3
10-000178,Guaymas,25.667,-45.024,20.12,1.1,MLERS,HuBL, ,3
10-000184,Medrissa,18.648,-56.549,19.52,1.16,MLERS,HuBL, ,3
10-000241,Jijiga,25.105,-53.948,16.16,0.89,Rd/DLERS,HuBL, ,2
10-000368,Canala,24.352,-80.074,11.49,0.84,DLERS,HuSL, ,2
10-000439,Aveiro,21.275,-78.959,9.87,0.9,DLERS,HuSL, ,2
10-000469,Peixe,20.323,-47.586,9.35,0.88,MLERS,HuBL, ,3
10-000497,Rong,22.453,-45.344,8.92,0.76,DLERC/Rd,SmSL, ,2
10-000540,Vol'sk,23.002,-51.239,8.46,0.79,DLERS,SmSL, ,2
10-000561,Glendore,18.336,-51.658,8.23,0.73,DLERS,HuBL, ,2
11-000188,Calahorra,26.463,-38.635,34.22,1.41,MLERS,HuBL, ,3
11-000189,Kalocsa,6.926,-6.931,34.15,1.43,Rd/DLERS,HuBL, ,2
11-000221,Libertad,23.06,-29.399,31.19,1.03,MLERS,HuBL, ,4
11-000232,Soochow,16.73,-28.821,30.06,1.48,DLERS,HuBL, ,2
11-000325,Zuni,19.222,-29.569,24.29,0.97,DLERS,HuBL, ,2
11-000410,Concord,16.524,-34.012,20.46,0.96,MLERS,SmBL, ,3
11-000449,Yuty,22.162,-34.086,19.06,1.06,MLERS,HuBL, ,3
11-000468,Tarsus,23.116,-40.259,18.55,1.15,MLERS,HuBL, ,3
11-000497,Taxco,20.665,-40.131,17.36,1.21,Rd/DLERS,HuBL, ,2
11-000513,Shardi,10.064,-15.305,16.89,1.01,DLERS,HuSL, ,2
11-000569,Makhambet,28.429,-40.45,15.85,1.13,MLERS,HuBL, ,3
11-000795,Naar,22.915,-42.125,11.59,0.88,DLERS/Rd,HuSL, ,2
11-000823,Ribe,16.489,-29.145,11.14,0.86,DLERS,HuBL, ,2
11-000914,Warra,20.744,-37.627,10.12,0.94,MLERS,HuSL, ,3
11-000962,Yoro,22.807,-28.034,9.61,0.74,DLERS,HuSL, ,2
11-001085,Tile,17.722,-28.603,8.67,0.91,DLERS,HuBL, ,2
11-001105,Cave,21.614,-35.632,8.56,0.79,Rd/DLERS/DLEPS,HuSL/HuSp, ,2
11-001358,Mut,22.358,-35.75,6.97,0.74,DLERS/DLEPS,HuBL, ,2
13-000121,Beruri,5.266,81.248,45.12,2.36,MLERS,HuBL, ,3
13-000142,Toro,17.035,71.831,41.4,1.91,MLERS,HuBL, ,3
13-000468,Yalgoo,4.93,84.25,17.38,1.36,Rd/DLERS,HuBL, ,2
14-000085,Tavua,15.623,117.614,31.56,1.95,Rd/MLERS,HuSL, ,3
14-000118,Zaranj,12.098,113.065,27.41,1.56,MLERS,HuBL, ,3
14-000132,Doba,10.912,119.63,25.89,1.44,MLERS,HuBL, ,4
14-000145,Marbach,17.647,111.034,24.74,1.6,MLERS,SmSL, ,3
14-000212,Phedra,13.838,123.878,20.31,1.55,Rd/MLERS,HuBL, ,3
14-000257,Linpu,18.141,113.211,18.16,1.51,MLERS,HuBL, ,3
14-000307,Basin,17.807,107.003,15.53,1.15,MLERS,SmSL, ,3
14-000582,Porth,21.196,104.221,9.52,0.92,SLERS,HuSL, ,2
14-000645,Naic,24.457,107.446,8.68,1.6,MLERS,HuBL, ,3
14-000647,Moss,19.228,109.486,8.65,0.95,Rd/DLERC/DLEPS,HuSL, ,2
14-000790,Korph,19.342,105.453,7.33,0.67,DLERS,HuSL/SmBL, ,2
15-000008,Lockyer,27.843,160.53,71.35,2.62,Rd/MLERS,HuBL, ,3
15-000103,Persbo,8.561,156.884,19.49,1.46,DLERS,HuSL, ,2
15-000165,Corinto,16.949,141.713,13.69,0.87,MLERS,HuSL, ,3
15-000240,Zunil,7.697,166.191,10.26,0.93,Rd/MLERS,HuBL, ,3
16-000120,Ejriksson,-19.198,-173.812,46.63,2.38,Rd/MLERS,HuBL,Inner is Small-Crown,3
18-000197,Bronkhorst,-10.698,-55.191,17.32,1.11,Rd/DLERS,HuBL, ,2
18-000199,Toconao,-20.851,-74.675,17.16,1.27,DLERS,HuSL, ,2
19-000202,Kansk,-20.528,-17.251,33.35,1.72,DLERS,HuBL, ,2
19-000294,Dia-Cau,-0.352,-42.657,27.97,1.48,DLERS,HuBL, ,2
19-000369,Huancayo,-3.624,-39.758,24.34,1.56,Rd/MLERS,HuBL, ,3
19-000429,Wicklow,-2.002,-40.522,21.5,0.99,DLERS,HuBL,Butterfly,2
19-000531,Bopolu,-2.959,-6.282,18.89,1.61,MLERS,HuBL, ,3
19-000537,Alga,-24.336,-26.667,18.72,1.34,DLERS,HuSL, ,2
19-000685,Kirsanov,-22.196,-25.106,15.08,1.21,DLERS,HuSL, ,2
19-000707,Lachute,-4.263,-39.748,14.79,0.91,DLERS,SmSL, ,2
19-000869,Tarata,-3.765,-41.209,12.27,0.9,DLERS,HuSL, ,2
19-000883,Stobs,-4.958,-38.288,12.06,0.93,DLEPS/DLERS,HuSL, ,2
19-000917,Kong,-5.359,-38.57,11.66,0.8,DLEPC,SmSL, ,2
19-001087,Ely,-23.606,-27.287,9.79,1.17,DLERS,HuBL, ,2
19-001439,Manzi,-22.134,-27.458,7.52,0.91,DLEPC,Sm, ,2
21-000037,Isil,-27.017,87.933,77.12,2.55,MLERS,HuBL,Inner is Small-Crown,3
01-000066, ,74.627,-13.104,22.37,.71,SLERC,HuSL, ,1
01-000078, ,69.381,41.513,20.78,.75,SLERS,HuSL, ,1
01-000100, ,65.669,-30.559,18.05,.42,SLERS,SmSL, ,1
01-000108, ,69.807,64.835,17.56,.33,SLERC,SmSL, ,1
01-000109, ,73.009,27.285,17.49,.56,SLERS,HuBL, ,1
01-000110, ,73.601,2.379,17.41,.95,SLERS,HuSL, ,1
01-000111, ,68.145,-160.637,17.41,.88,SLERS,HuSL, ,1
21-000206,Verlaine,-9.237,64.126,38.84,1.9,Rd/DLEPS,HuSL, ,2
21-000568,Okotoks,-21.211,84.42,21.78,1.52,DLERS,HuBL, ,2
21-000624,J,-27.185,76.45,20.47,1.51,DLERS,HuSL, ,2
22-000088,Kinkora,-24.958,112.876,51.09,1.76,Rd/MLERS,HuBL, ,4
22-000167,Bombala,-27.602,106.134,37.14,1.54,MLERS,HuBL, ,4
22-000276,Trinidad,-23.38,109.069,27.91,1.39,MLERS,HuBL, ,3
22-000440,Rayadurg,-18.456,102.442,21.38,1.1,MLERS,HuBL, ,3
22-000604,Luqa,-18.225,131.821,17.14,1.17,MLERS,HuBL, ,3
22-000613,Baro,-24.808,110.71,16.93,0.92,DLEPS,HuSL, ,2
22-000643,Bazas,-27.778,93.383,16.43,1.25,Rd/MLERS,HuBL, ,3
22-000693,Arica,-23.801,110.251,15.77,0.98,DLEPS/DLERS,HuSL, ,2
22-000732,Kunes,-25.24,107.949,15.13,1.01,Rd/DLERS,HuSL, ,2
22-000968,Espino,-19.688,110.346,12.05,0.66,DLEPS/DLERS,HuSL, ,2
22-001025,Piyi,-22.878,106.638,11.63,0.78,Rd/DLEPS,HuSL, ,2
22-001371,Khurli,-20.942,112.962,8.78,0.66,DLEPS/DLERS,HuSL, ,2
23-000030,Reuyl,-9.591,166.98,78.73,2.13,Rd/DLERS,HuBL, ,2
24-000523,Henbury,-63.506,-147.7,25.83,1.33,Rd/MLERS,HuBL, ,3
24-001361,Triolet,-37.086,-168.019,11.44,1.51,DLERS,HuBL, ,2
24-001457,Niquero,-38.795,-165.965,10.7,0.72,Rd/DLEPS,HuBL, ,2
24-001570,Kamnik,-37.204,-161.788,9.86,0.88,DLERS,SmBL, ,2
24-001667,Yaren,-43.888,-137.438,9.19,0.92,DLEPS/DLERS,HuBL, ,2
25-000444,Vik,-36.095,-63.922,22.32,0.97,DLERS,HuBL, ,2
25-000451,Kontum,-32.039,-67.061,22.26,1.11,DLERS,HuBL, ,2
26-000298,Mena,-32.124,-18.745,29.22,1.85,MLERS,HuBL, ,3
26-001153,Jezza,-48.419,-37.93,9.22,0.47,DLERS,HuBL, ,2
26-001334,Tabou,-45.107,-35.04,7.98,0.81,Rd/DLEPC/DLERS,Hu/HuBL, ,2
27-003240,Tivat,-45.932,9.525,3.26,0.38,DLEPS,SmSp,Splash,2
28-000399,Tignish,-30.736,87.052,20.98,1.58,DLERS,HuSL, ,2
28-000444,Layl,-61.103,107.129,19.36,1.46,Rd/MLERS,HuBL, ,3
28-000849,Cue,-35.838,93.239,10.54,0.67,Rd/DLEPS,HuSL, ,2
